Localidade,Sigla,Fundeb_2019,Fundeb_2018,Fundeb_2017,Fundeb_2016,Fundeb_2015,Fundeb_2014
Acre,AC,355978268.3,330331122.6,330615527.7,297185391.1,265202367.6,209080921
Alagoas,AL,963662858.8,923003838.1,930319626.4,843716146.8,783668152.7,612088706.3
Amapá,AM,260853317.4,246988693,231927259.8,203900372.1,166481051.8,122794098.1
Amazonas,AP,868104751.8,849438915.5,854792867.4,770432587.8,726798832.7,569804061
Bahia,BA,2290027255,2173435914,2165402155,1956763107,1745674288,1382695248
Ceará,CE,1683372878,1596687094,1623144229,1480539349,1315197803,1019543944
Distrito Federal,DF,2079496635,2103836183,2312634686,2140374898,1971558737,1744164617
Espírito Santo,ES,1258805926,1215574549,1245515424,1152048638,1069737823,843435788.3
Goiás,GO,1602115995,1559305000,1609566782,1442455434,1293260920,1051086675
Maranhão,MA,1171891510,1083088574,1082075613,958718331.5,833790942.2,655674583.9
Mato Grosso,MG,993335011.8,1005910204,1096334359,987493692.8,831380057.8,682482675.9
Mato Grosso do Sul,MS,1029473138,979727455.5,979652386.2,852309585.2,769745524.1,639233731.2
Minas Gerais,MT,6967708332,6782621000,7038507487,6638465879,5958855842,4883727740
Pará,PA,1909285457,1811992250,1795956154,1570347779,1378657267,1124286428
Paraíba,PB,1990301714,1978395788,2104200250,1930461472,1763210401,1391013004
Paraná,PR,2427565908,2353070003,2434649217,2230504985,2007484496,1549775903
Pernambuco,PE,2204279658,2165922475,2235851057,2073119414,1899062965,1471828717
Piauí,PI,952011007.4,916645790.9,934176206.7,844633924.4,735622244.3,578479700.7
Rio de Janeiro,RJ,6198370887,6104948825,6394839807,5963941472,5402535273,4370598423
Rio Grande do Norte,RN,1763051363,1713740775,1777833802,1656963267,1525365348,1225385349
Rio Grande do Sul,RO,5500600691,5340261720,5545736569,5044704888,4566933755,3701691746
Rondônia,RR,429056179,403762340.9,400981501.9,347245173.6,291444151.1,214549647.2
Roraima,RS,291340874,273191456.7,287801408.8,260820158.9,228088817.4,187506424.7
Santa Catarina,SC,1913260478,1852948651,1895105316,1702868253,1520265677,1346188478
São Paulo,SE,2483745310,2375339988,2448776637,2195403606,1933885795,1521053448
Sergipe,SP,763119467.3,750926015.2,753033593.5,685558182.7,617490974.9,520896544.7
Tocantins,TO,551267174.2,509940061,518746992.8,464132563,406651258.1,336521441.8
Localidade não informada,,0,0,0,0,0,0
Exterior,,0,0,0,0,0,0
Gasto Nacional,,0,0,0,0,0,0
Centro-Oeste,,0,0,0,0,0,212386417.7
Nacional,,43032606379,45679263411,50269659425,48034372685,46199238422,43849160429
Nordeste,,314568043.3,296299347.1,295964353.5,254166059.4,214339945.8,1082881543
Norte,,0,0,0,0,0,343700010
Sudeste,,0,0,2561846.61,14483674.12,0,1071078533
Sul,,224735035.7,213874110.8,219273467.9,186355072,179073522.4,389020930
Total,,94473991505,95590471551,101815636008,95184486041,88600702657,80903815908
